City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,281.87,82,97,6.25,AU,1688831593
1,castillos,-34.1667,-53.8333,287.85,57,3,3.29,UY,1688831593
2,papatowai,-46.5619,169.4708,279.84,90,100,2.94,NZ,1688831593
3,lautoka,-17.6167,177.4667,295.07,88,40,0.0,FJ,1688831593
4,talnakh,69.4865,88.3972,291.6,79,84,1.54,RU,1688831593
5,taulaga,-11.0553,-171.0883,301.32,73,60,7.26,AS,1688831593
6,kapa'a,22.0752,-159.319,299.33,80,75,8.23,US,1688831594
7,punta arenas,-53.15,-70.9167,273.21,86,0,2.57,CL,1688831594
8,ola,59.5833,151.2833,284.39,75,14,1.38,RU,1688831594
9,port-aux-francais,-49.35,70.2167,273.56,89,100,0.49,TF,1688831594
10,ushuaia,-54.8,-68.3,276.96,70,40,10.29,AR,1688831594
11,napasar,27.9667,73.55,304.38,66,46,3.19,IN,1688831594
12,porto novo,6.4965,2.6036,300.05,93,100,4.0,BJ,1688831594
13,mejit,10.2753,170.8646,301.33,74,100,8.97,MH,1688831595
14,ribeira grande,38.5167,-28.7,295.37,64,20,4.12,PT,1688831595
15,kuopio,62.8924,27.677,289.38,88,100,5.14,FI,1688831563
16,isangel,-19.55,169.2667,294.55,82,6,4.01,VU,1688831595
17,sint michiel liber,12.15,-68.9833,304.05,70,75,6.69,CW,1688831595
18,blackmans bay,-43.0167,147.3167,281.22,89,80,8.29,AU,1688831595
19,bethel,41.3712,-73.414,302.9,70,75,0.89,US,1688831337
20,vorgashor,67.5833,63.95,285.72,73,100,2.63,RU,1688831595
21,olinda,-8.0089,-34.8553,301.0,78,20,3.6,BR,1688831480
22,la passe,45.5549,-0.8967,302.6,66,100,5.77,FR,1688831596
23,hawaiian paradise park,19.5933,-154.9731,295.88,92,100,2.06,US,1688831596
24,tinyahuarco,-10.75,-76.3,284.34,19,2,3.29,PE,1688831596
25,kerikeri,-35.2268,173.9474,284.21,95,60,0.45,NZ,1688831596
26,vredendal,-31.6683,18.5012,284.96,71,31,6.61,ZA,1688831596
27,anadyr,64.75,177.4833,280.43,100,75,2.0,RU,1688831596
28,quellon,-43.1167,-73.6167,282.29,93,100,2.57,CL,1688831597
29,rosetta,31.4044,30.4164,300.08,76,0,8.16,EG,1688831597
30,burnie,-41.0667,145.9167,281.73,88,91,5.64,AU,1688831597
31,puerto palomas,31.7667,-107.6167,307.64,15,18,6.04,MX,1688831597
32,udomlya,57.8794,34.9925,292.43,54,74,3.19,RU,1688831597
33,nakambala,-15.8324,27.7799,291.86,43,46,3.14,ZM,1688831597
34,port mathurin,-19.6833,63.4167,296.86,65,24,11.11,MU,1688831597
35,viana do castelo,41.6932,-8.8329,293.75,69,7,2.42,PT,1688831598
36,bilibino,68.0546,166.4372,285.73,49,69,1.5,RU,1688831598
37,adamstown,-25.066,-130.1015,295.15,67,100,6.82,PN,1688831598
38,isafjordur,66.0755,-23.124,282.17,87,20,6.17,IS,1688831598
39,badger,64.8,-147.5333,283.43,91,100,4.12,US,1688831598
40,ebon,4.582,168.6964,301.15,82,100,6.35,MH,1688831598
41,margaret river,-33.95,115.0667,287.07,76,80,5.5,AU,1688831372
42,tsiombe,-25.3,45.4833,293.9,68,0,2.58,MG,1688831599
43,hanzhong,33.0728,107.0303,298.7,72,60,1.59,CN,1688831535
44,puerto natales,-51.7236,-72.4875,270.4,93,20,5.14,CL,1688831599
45,chonchi,-42.6128,-73.8092,281.71,92,99,4.24,CL,1688831599
46,pierre,44.3683,-100.351,295.53,69,0,3.09,US,1688831599
47,najran,17.4924,44.1277,311.51,8,77,4.17,SA,1688831599
48,meadow lake,34.8014,-106.5436,301.32,39,55,5.16,US,1688831599
49,ust-nera,64.5667,143.2,287.52,86,100,1.6,RU,1688831599
50,harper,4.375,-7.7169,299.37,76,80,4.74,LR,1688831600
51,arraial do cabo,-22.9661,-42.0278,301.13,39,0,3.6,BR,1688831600
52,kodiak,57.79,-152.4072,280.88,87,75,0.0,US,1688831600
53,itoman,26.1247,127.6694,302.36,92,40,5.66,JP,1688831600
54,fale old settlement,-9.3852,-171.2468,301.7,77,85,7.4,TK,1688831600
55,chui,-33.6971,-53.4616,288.3,61,0,3.66,UY,1688831600
56,vilyuysk,63.7553,121.6247,282.81,59,0,2.56,RU,1688831600
57,tolanaro,-25.0319,46.9987,296.19,78,20,9.26,MG,1688831601
58,coquimbo,-29.9533,-71.3436,289.0,51,0,2.06,CL,1688831601
59,dubno,50.4169,25.7343,297.53,62,79,3.17,UA,1688831601
60,kelso,46.1468,-122.9084,289.17,83,100,0.45,US,1688831458
61,grytviken,-54.2811,-36.5092,265.42,80,26,5.63,GS,1688831601
62,kamikawa,43.84,142.7711,292.36,90,0,1.98,JP,1688831601
63,weyburn,49.6668,-103.8511,291.27,63,74,4.63,CA,1688831601
64,tomatlan,19.9333,-105.25,305.69,52,72,2.69,MX,1688831601
65,mafinga,-7.25,35.0667,296.5,38,39,2.86,TZ,1688831602
66,west island,-12.1568,96.8225,299.14,78,40,5.66,CC,1688831602
67,lompoc,34.6391,-120.4579,292.51,90,100,6.69,US,1688831602
68,college,64.8569,-147.8028,283.47,90,100,4.12,US,1688831602
69,puerto ayora,-0.7393,-90.3518,299.01,88,82,3.58,EC,1688831602
70,hermanus,-34.4187,19.2345,281.93,67,76,9.95,ZA,1688831602
71,kochubey,44.3861,46.5825,304.15,42,88,7.65,RU,1688831602
72,ilulissat,69.2167,-51.1,281.16,81,20,4.12,GL,1688831603
73,bathsheba,13.2167,-59.5167,302.49,84,40,7.72,BB,1688831603
74,lebu,-37.6167,-73.65,284.26,71,100,5.58,CL,1688831603
75,broken hill,-31.95,141.4333,281.72,75,0,4.12,AU,1688831603
76,port lincoln,-34.7333,135.8667,286.13,74,32,5.97,AU,1688831604
77,oran,35.6911,-0.6417,304.11,74,40,7.2,DZ,1688831604
78,mamuju,-2.6748,118.8885,298.15,88,29,1.58,ID,1688831604
79,avarua,-21.2078,-159.775,295.18,100,40,1.54,CK,1688831604
80,edinburgh of the seven seas,-37.0676,-12.3116,287.47,83,98,11.6,SH,1688831604
81,cooper's town,26.8667,-77.5167,302.64,74,93,7.89,BS,1688831604
82,hithadhoo,-0.6,73.0833,301.03,65,100,1.03,MV,1688831604
83,tuy hoa,13.0833,109.3,299.02,91,44,2.61,VN,1688831605
84,kiama,-34.6833,150.8667,287.25,60,0,4.02,AU,1688831605
85,waitangi,-43.9535,-176.5597,282.49,94,37,5.36,NZ,1688831605
86,hantsavichy,52.758,26.43,294.09,59,39,3.46,BY,1688831605
87,walvis bay,-22.9575,14.5053,289.87,61,0,12.11,NA,1688831606
88,novyy urgal,51.0736,132.5642,292.46,83,88,0.99,RU,1688831606
89,nova vicosa,-17.8919,-39.3719,300.12,59,41,3.89,BR,1688831606
90,souillac,-20.5167,57.5167,297.36,73,75,6.17,MU,1688831606
91,fukuecho,32.6881,128.8419,299.58,90,92,8.37,JP,1688831606
92,sur,22.5667,59.5289,305.59,57,88,4.26,OM,1688831606
93,remire-montjoly,4.9167,-52.2667,303.17,66,40,5.14,GF,1688831308
94,kemijarvi,66.7131,27.4306,290.96,36,71,3.89,FI,1688831607
95,ploudalmezeau,48.5333,-4.65,295.44,60,40,5.66,FR,1688831607
96,bredasdorp,-34.5322,20.0403,282.86,70,13,8.09,ZA,1688831607
97,hadibu,12.65,54.0333,299.1,66,59,7.6,YE,1688831607
98,lukhovka,54.1484,45.2573,300.51,69,81,1.08,RU,1688831607
99,westport,41.1415,-73.3579,303.65,82,69,1.79,US,1688831377
100,albany,42.6001,-73.9662,299.85,77,17,1.06,US,1688831593
101,bhamo,24.2667,97.2333,297.93,95,100,1.41,MM,1688831608
102,baqubah,33.7485,44.6554,312.82,15,0,5.29,IQ,1688831608
103,eastham,41.8301,-69.9739,300.33,82,100,2.06,US,1688831608
104,st. john's,47.5649,-52.7093,291.81,88,100,5.66,CA,1688831608
105,sechura,-5.5569,-80.8222,298.34,63,74,4.45,PE,1688831608
106,santa fe do sul,-20.2111,-50.9258,303.43,26,53,4.58,BR,1688831608
107,nuuk,64.1835,-51.7216,287.49,62,40,3.09,GL,1688831608
108,dudinka,69.4058,86.1778,291.83,87,78,3.6,RU,1688831609
109,zhezqazghan,47.7833,67.7667,301.64,22,7,3.52,KZ,1688831329
110,turkmenbasy,40.0222,52.9552,311.58,13,0,5.14,TM,1688831609
111,illizi,26.4833,8.4667,313.04,7,0,9.3,DZ,1688831609
112,tiksi,71.6872,128.8694,275.03,69,100,5.63,RU,1688831609
113,fort irwin,35.2627,-116.6848,297.05,25,0,0.0,US,1688831609
114,madera,37.1666,-119.8343,302.58,49,0,2.15,US,1688831609
115,pionerskiy,54.9508,20.2275,293.06,65,10,3.58,RU,1688831609
116,ancud,-41.8697,-73.8203,281.23,89,97,8.22,CL,1688831610
117,yellowknife,62.456,-114.3525,296.44,43,40,5.14,CA,1688831407
118,stanley,54.868,-1.6985,294.0,82,20,1.54,GB,1688831610
119,progreso,21.2833,-89.6667,305.43,64,41,3.73,MX,1688831610
120,nema,57.5067,50.5011,293.15,92,72,2.38,RU,1688831610
121,rosarito,32.3333,-117.0333,293.28,72,37,2.25,MX,1688831610
122,la ligua,-32.4524,-71.2311,290.67,43,0,1.66,CL,1688831611
123,kirkland lake,48.1446,-80.0377,293.31,60,100,1.54,CA,1688831611
124,damghan,36.1683,54.348,304.69,16,0,3.57,IR,1688831611
125,chebarkul',54.9749,60.3633,295.92,59,34,1.22,RU,1688831611
126,stawell,-37.05,142.7667,282.57,82,99,6.8,AU,1688831611
127,carnarvon,-24.8667,113.6333,290.13,76,0,7.36,AU,1688831611
128,sitka,57.0531,-135.33,287.09,82,100,6.17,US,1688831611
129,upata,8.0086,-62.3989,305.5,39,12,4.35,VE,1688831612
130,puerto baquerizo moreno,-0.9,-89.6,299.7,78,40,6.17,EC,1688831612
131,tindouf,27.6711,-8.1474,315.4,9,0,8.23,DZ,1688831612
132,qaqortoq,60.7167,-46.0333,280.63,79,25,2.32,GL,1688831612
133,gadzhiyevo,69.2551,33.3362,280.59,78,100,5.27,RU,1688831612
134,dakhla,23.6848,-15.958,299.16,61,1,12.86,EH,1688831612
135,alice springs,-23.7,133.8833,280.9,81,97,2.99,AU,1688831612
136,tofol,5.3248,163.0078,301.65,76,84,5.06,FM,1688831612
137,qaryat suluq,31.6682,20.2521,305.26,28,0,10.59,LY,1688831613
138,vila velha,-20.3297,-40.2925,301.12,53,20,5.14,BR,1688831594
139,shakawe,-18.3667,21.85,294.21,21,0,1.9,BW,1688831613
140,galliano,29.4422,-90.2992,307.04,62,0,3.6,US,1688831613
141,georgetown,5.4112,100.3354,299.83,92,40,2.24,MY,1688831394
142,mount isa,-20.7333,139.5,278.02,87,5,0.0,AU,1688831613
143,gakem,6.7658,8.9881,299.04,87,100,3.17,NG,1688831613
144,sao jose da coroa grande,-8.8978,-35.1478,299.06,83,36,5.04,BR,1688831613
145,nagqu,31.5,92.0,281.27,78,79,1.75,CN,1688831614
146,nemuro,43.3236,145.575,286.37,99,67,1.86,JP,1688831614
147,christchurch,-43.5333,172.6333,284.77,92,75,3.6,NZ,1688831439
148,dana point,33.467,-117.6981,293.21,84,11,0.89,US,1688831614
149,san patricio,28.017,-97.5169,306.07,59,2,4.63,US,1688831614
150,invercargill,-46.4,168.35,278.86,93,91,1.96,NZ,1688831614
151,balakhta,55.38,91.6,289.41,90,40,0.61,RU,1688831614
152,iqaluit,63.7506,-68.5145,280.0,93,100,2.06,CA,1688831614
153,saipan,15.1355,145.701,301.54,100,40,6.69,MP,1688831615
154,northam,51.0333,-4.2167,291.62,71,100,3.14,GB,1688831615
155,tiruchchendur,8.4833,78.1167,302.71,65,56,4.84,IN,1688831615
156,enewetak,11.3474,162.3373,301.16,82,100,7.01,MH,1688831615
157,vila franca do campo,37.7167,-25.4333,295.38,54,60,2.06,PT,1688831615
158,laascaanood,8.4774,47.3597,302.32,35,23,10.13,SO,1688831615
159,torghay,49.6339,63.4981,303.08,28,23,6.12,KZ,1688831615
160,karungdong,5.8844,121.263,298.37,90,100,2.35,PH,1688831615
161,pontianak,-0.0333,109.3333,299.14,94,100,1.54,ID,1688831616
162,luderitz,-26.6481,15.1594,288.15,62,0,12.16,NA,1688831616
163,susuman,62.7833,148.1667,286.33,87,80,4.52,RU,1688831616
164,geraldton,-28.7667,114.6,281.38,93,0,2.57,AU,1688831363
165,rongelap,11.1635,166.8941,301.2,81,100,7.7,MH,1688831616
166,lyubimets,41.8333,26.0833,297.03,77,83,4.23,BG,1688831616
167,jaciara,-15.9653,-54.9683,306.22,23,0,2.42,BR,1688831616
168,valdivia,-39.8142,-73.2459,283.2,90,96,4.54,CL,1688831617
169,kavaratti,10.5669,72.642,301.32,79,100,6.98,IN,1688831617
170,araguaina,-7.1911,-48.2072,308.16,31,11,2.96,BR,1688831524
171,merizo village,13.2658,144.6691,300.46,89,100,4.64,GU,1688831617
172,salekhard,66.53,66.6019,287.49,85,69,3.15,RU,1688831617
173,tura,25.5198,90.2201,297.34,97,96,2.47,IN,1688831617
174,dryden,49.7833,-92.7503,290.31,45,20,3.09,CA,1688831617
175,tralee,52.2704,-9.7026,290.29,67,0,7.2,IE,1688831617
176,wenling,28.3669,121.36,298.3,95,93,3.87,CN,1688831618
177,nicoya,10.1483,-85.452,302.57,72,61,1.52,CR,1688831618
178,hilo,19.7297,-155.09,296.0,87,100,2.06,US,1688831618
179,siwa oasis,29.2041,25.5195,311.45,15,0,4.28,EG,1688831618
180,murun-kuren,49.6342,100.1625,289.27,87,100,0.86,MN,1688831618
181,smara,26.7384,-11.6719,307.05,22,0,9.13,EH,1688831618
182,tarnogskiy gorodok,60.4997,43.5761,289.11,94,100,3.11,RU,1688831618
183,kapoeta,4.7717,33.5903,301.22,46,81,1.21,SS,1688831618
184,narvik,68.4384,17.4272,286.82,84,94,1.54,NO,1688831619
185,penrith,54.6658,-2.7576,293.06,88,100,1.16,GB,1688831619
186,port alfred,-33.5906,26.891,287.14,73,20,2.68,ZA,1688831619
187,wailua homesteads,22.0669,-159.378,298.59,80,75,8.23,US,1688831619
188,tekman,39.6436,41.5078,287.1,41,16,3.11,TR,1688831619
189,terrace,54.5163,-128.6035,292.1,82,20,1.54,CA,1688831571
190,faya-largeau,17.9257,19.1043,314.16,10,3,5.52,TD,1688831619
191,udachny,66.4167,112.4,287.31,60,23,2.34,RU,1688831619
192,kuala sungai baru,2.3594,102.0353,300.39,80,34,3.34,MY,1688831620
193,road town,18.4167,-64.6167,304.2,74,40,6.17,VG,1688831574
194,port elizabeth,-33.918,25.5701,287.31,71,40,10.8,ZA,1688831620
195,rundu,-17.9333,19.7667,294.82,20,0,2.27,NA,1688831620
196,ta`u,-14.2336,-169.5144,300.23,80,90,7.46,AS,1688831620
197,uturoa,-16.7333,-151.4333,300.36,70,41,9.26,PF,1688831620
198,queenstown,-31.8976,26.8753,285.13,42,29,8.4,ZA,1688831620
199,sittwe,20.15,92.9,300.98,87,96,3.01,MM,1688831620
200,utrik,11.2278,169.8474,301.14,76,97,8.06,MH,1688831621
201,san julian,21.0167,-102.1667,293.72,59,93,2.52,MX,1688831621
202,gizo,-8.103,156.8419,299.84,85,94,6.75,SB,1688831621
203,chibougamau,49.9168,-74.3659,295.94,46,75,2.06,CA,1688831621
204,bailesti,44.0167,23.35,300.48,48,29,5.93,RO,1688831621
205,arkhangel'sk,64.5401,40.5433,286.69,66,100,1.42,RU,1688831533
206,imbituba,-28.24,-48.6703,293.63,94,97,6.51,BR,1688831621
207,ust-tsilma,65.441,52.1498,286.11,68,100,2.45,RU,1688831621
208,severo-yeniseyskiy,60.3725,93.0408,291.44,65,88,1.65,RU,1688831622
209,lodja,-3.4833,23.4333,302.95,29,3,0.28,CD,1688831622
210,mohr,54.3528,9.7167,301.56,44,5,6.69,DE,1688831622
211,papao,-17.75,-149.55,296.97,81,39,9.08,PF,1688831622
212,hobyo,5.3505,48.5268,298.85,77,97,12.85,SO,1688831622
213,nizhnesortymskiy,62.4397,71.7603,289.34,75,61,5.82,RU,1688831622
214,camocim,-2.9022,-40.8411,304.98,53,1,5.56,BR,1688831623
215,whitehorse,60.7161,-135.0538,294.87,42,20,5.66,CA,1688831623
216,akureyri,65.6835,-18.0878,286.11,71,40,6.69,IS,1688831623
217,luwingu,-10.2621,29.9271,293.05,39,28,2.13,ZM,1688831623
218,flying fish cove,-10.4217,105.6791,297.97,83,100,5.66,CX,1688831623
219,talcahuano,-36.7167,-73.1167,285.97,67,40,5.14,CL,1688831623
220,olonkinbyen,70.9221,-8.7187,279.02,90,20,6.91,SJ,1688831623
221,labrador city,52.9463,-66.9114,294.1,52,40,3.6,CA,1688831430
222,cidade velha,14.9167,-23.6167,303.41,58,40,4.12,CV,1688831624
223,gwadar,25.1216,62.3254,301.89,85,78,4.66,PK,1688831624
224,bardai,11.65,7.2333,306.83,33,79,2.19,NG,1688831624
225,mhamid,29.82,-5.72,317.65,6,0,1.46,MA,1688831624
226,igarka,67.4667,86.5833,291.13,87,34,1.22,RU,1688831624
227,el calafate,-50.3408,-72.2768,269.91,68,7,0.68,AR,1688831489
228,fang,19.9169,99.2145,297.41,96,100,0.8,TH,1688831624
229,plastun,44.7561,136.2939,291.58,89,12,2.13,RU,1688831624
230,rafsanjan,30.4067,55.9939,304.22,10,0,6.11,IR,1688831625
231,beihai,21.4833,109.1,302.14,82,12,4.38,CN,1688831625
232,kirkwall,58.9848,-2.9587,292.18,68,0,9.77,GB,1688831625
233,newman,37.3138,-121.0208,293.28,38,0,0.45,US,1688831625
234,aswan,24.0934,32.907,313.76,11,0,4.12,EG,1688831625
235,pechora,65.1472,57.2244,287.02,70,100,2.92,RU,1688831625
236,thompson,55.7435,-97.8558,285.24,94,100,3.6,CA,1688831625
237,yarmouth,41.7057,-70.2286,302.38,85,100,3.13,US,1688831625
238,harstad,68.799,16.5293,286.81,100,100,3.13,NO,1688831626
239,kingston,17.997,-76.7936,306.06,65,20,5.14,JM,1688831626
240,mandapam,9.2833,79.1167,302.5,76,86,6.22,IN,1688831626
241,al bardiyah,31.7561,25.0865,300.87,67,0,7.3,LY,1688831626
242,namibe,-15.1961,12.1522,293.46,76,3,2.82,AO,1688831626
243,cruzeiro do sul,-29.5128,-51.9853,292.88,81,39,2.25,BR,1688831626
244,yigo village,13.5361,144.8886,299.77,84,40,5.66,GU,1688831626
245,coahuayana de hidalgo,18.7,-103.6583,297.8,93,86,1.94,MX,1688831627
246,hemsby,52.6971,1.6918,299.86,66,100,3.99,GB,1688831627
247,behompy,-23.2496,43.8557,293.08,84,2,0.7,MG,1688831627
248,khandyga,62.6667,135.6,283.4,95,100,1.94,RU,1688831627
249,tselinnoye,53.0833,85.6667,290.09,91,71,2.94,RU,1688831627
250,minas de marcona,-15.2119,-75.1103,289.62,59,22,5.2,PE,1688831627
251,yuzhno-kurilsk,44.0306,145.8556,286.76,98,38,2.15,RU,1688831628
252,sao joao da barra,-21.6403,-41.0511,300.2,50,3,4.26,BR,1688831628
253,santa ana,33.7456,-117.8678,294.1,76,100,3.09,US,1688831628
254,rondonopolis,-16.4708,-54.6356,307.16,21,2,2.67,BR,1688831628
255,aripuana,-9.1667,-60.6333,307.91,30,15,1.9,BR,1688831628
256,tulun,54.5611,100.5792,291.46,74,96,0.98,RU,1688831628
257,sergeyevka,53.88,67.4158,293.23,57,93,2.38,KZ,1688831629
258,kalmunai,7.4167,81.8167,300.82,80,49,2.41,LK,1688831629
259,issia,6.4922,-6.5856,300.35,87,92,0.9,CI,1688831629
260,tabuk,17.4189,121.4443,297.86,93,97,1.01,PH,1688831629
261,pindushi,62.9152,34.58,284.3,98,100,4.27,RU,1688831629
262,laojunmiao,39.8333,97.7333,298.08,19,5,5.39,CN,1688831630
263,iskateley,67.6803,53.1512,280.53,76,99,4.75,RU,1688831630
264,haiku-pauwela,20.9219,-156.3051,295.16,79,100,6.69,US,1688831630
265,alofi,-19.0595,-169.9187,295.09,94,100,2.06,NU,1688831630
266,al ghayzah,16.2079,52.176,302.44,77,100,3.03,YE,1688831630
267,ad-damazin,11.7891,34.3592,300.88,64,17,3.28,SD,1688831630
268,vorkuta,67.5,64.0,285.58,80,100,2.73,RU,1688831630
269,kailua-kona,19.6406,-155.9956,296.61,83,40,2.06,US,1688831631
270,farafangana,-22.8167,47.8333,294.27,83,40,4.17,MG,1688831631
271,bontang,0.1333,117.5,297.57,92,73,1.93,ID,1688831631
272,tamanrasset,22.785,5.5228,310.1,7,0,6.69,DZ,1688831631
273,coruripe,-10.1256,-36.1756,299.24,81,65,5.01,BR,1688831631
274,longyearbyen,78.2186,15.6401,282.06,71,75,7.72,SJ,1688831631
275,atafu village,-8.5421,-172.5159,301.44,77,88,8.69,TK,1688831631
276,fort bragg,35.139,-79.006,305.27,69,100,0.0,US,1688831632
277,rye,40.9807,-73.6837,304.39,73,40,2.06,US,1688831632
278,nar'yan-mar,67.6713,53.087,280.62,76,98,4.71,RU,1688831632
279,egilsstadir,65.2653,-14.3948,292.1,63,20,4.12,IS,1688831632
280,codo,-4.4553,-43.8856,305.64,43,55,1.86,BR,1688831632
281,yuli,9.6989,10.2744,305.24,45,94,2.46,NG,1688831632
282,csurgo,46.2531,17.1006,302.67,40,10,0.99,HU,1688831633
